content,ground
"Xích cứng khó kéo kéo mãi ms lên
Vải đẹp đúng y như mẫu 
Giao hàng nhanh",1
Xét chung thì shop giao đúng mẫu và đầy đủ nhưng mình bị không hài lòng vì áo bị bẩn . Áo lại là màu trắng nữa nên k biết giặt có sạch được không. Mong shop chú ý hơn trong việc chuẩn bị hàng,0
Xem như là test :(( chắc muốn mua áo dày phải đắt tiền hơn,0
"Xem giá bán thì không rẻ chút nào. Tôi có thẻ giảm giá nên mua ko thẻ hết lượt dùng. Khi nhận hàng và xem bình luận mới thấy đúng là tiền nào của nấy, không có chuyện giảm giá.",0
"Xem cmt thấy m.n bảo chất đẹp nhưng mình thì thấy chất xấu , giao hàng lâu.",1
xe yếu khi nhận hàng thì ko còn điện cắm dạc thì điện ko vào kiểm tra thì hỏng một cục acquy,0
Xe hơi bé so vs tưởng tượng,0
Xđ là vứt chứ mặc à,0
Xấuuuuưuuuuu,0
"xấu,không đều, lỗi ở cánh tay, vải cát bình thường, người 46 kg mặc rộng, giao hàng chậm",0
Xâu 🙂,0
Xấu vải bí nóng như đồ 35k ngoài chợ,0
Xấu và nhìn phom áo chán đời luôn,0
Xau va khong nhu trong hinh .khong mac duoc vi cu rot ra nhung bui mau den,0
Xấu to,0
Xấu thật,0
Xấu thẩm tệ thậm tệ và ko đáng bằng đấy tiền m,0
Xấu thậm tệ mình mới mang mà đã bung chữ bung mát nhìn cái áo k khác gì mấy áo của mấy ông già khuyên thật mọi người k nên mua,0
Xấu tệ hàng thì giảm xuống nhưng ship tính trên trời đặt mua đầm 59k phí ship 55k mà sản phẩm k đep thôi thì ra shop gần nhà mua tận tay thấy tận mắt chỉ có 250k chênh lêch k bao nhiêu nhưng cảm thấy xứng đáng vô cùng,0
Xấu tệ,0
xau te,0
"Xấu so với hình. Nhìn như áo công nhân,ai mua thì xem xét kỹ . Quên quay video lại    , ko là trả hàng rồi",1
Xấu quắc...kg giống hình...cảm thấy khó chịu,0
Xấu quá xấu vải thì mỏng nhánh à quá phí tiền đi chịu luôn sai lầm khi mua,0
Xau qua xau,0
Xấu quá shop ơi,0
Xấu quá huhu,0
Xấu như ma cứ nghĩ làm sao chứ vải mỏng,0
Xấu nhỏ kh vừa ok Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,0
Xấu ngoài sự tưởng tượng!!!!,0
xấu mù ko phù hợp với giá tiền,0
"Xấu lm ạ, k nên mua",0
Xấu ko như hình,0
Xấu ko đáng với giá tiền ko bao giờ mua lại luôn ko nên mua nha 😶😶😃😃,0
Xấu hở cổ dài nút sâu,0
Xấu già nói chung là chê không có lần sau,0
Xấu cả chất vải lẫn form quần,0
Xấu + đắt,0
Xấu .giày mắc tiền mà nhận hàng thất vọng giày bị lỗi tùm lum ..nt cho shop mà cả thang moi tra loi thi sao ll dc,0
Xấu,0
Xấu,0
xấu,0
Xấu,0
Xấu,0
Xấu,0
Xấu,0
Xau,0
Xanh to hơn hồng,0
"Xanh thì đẹp đúng màu đúng size
Đen vải mỏng , em đặt size xl mà giao size m quá nhỏ, thấttt vọng về màu dên",1
xăng tia thuộc mức độ trung bình,0
Xài tạm được,0
Xài k thấy hiệu quả gì,0
Wonderful fantastic greatest things on the world I never saw,1
Wifi 3 râu mà sóng kém hơn cả 2 râu,0
What the fuckss??,0
"War machine đen nhân vật sp hơi thô, màu sắc ko đẹp như captain và iron man 43 đỏ, khớp hơi cứng, khó tạo hình",0
Wa tệ,0
Vượt mong đợi,1
"Vui lòng để tên sản phẩm là của cty mình chứ đừng lấy tên của nhãn hiệu uy tín khác, gây nhầm lẫn cho khách hàng. Vì tin tưởng là sản phẩm của Outerity mới đặt 3 sp cùng lúc. Nhận hàng rất thất vọng về chất lượng.",0
Vui lỏng cho đổi pin,0
Vui lòng cải thiện dịch vụ giao hàng KHÔNG GIAO VÀO GIỜ NGHỈ,0
"Vừa, chất vải ổng với giá dưới 100k lúc sale=)), giao hàng nhanh.",1
vừa xả nước chưa mặt lần nào tróc in,0
Vừa với giá tiền. 😃😃😃,1
"Vừa vặn, form rộng mặc thoải mái những ngày hè.",1
"Vừa vặn , thoải mái",1
Vừa thử vào đã rách đáy,0
"Vừa rộng vừa ngắn, hình in thì to. Thà xấu tí thì còn cố mặc dc còn đây thì giẻ lau",0
Vừa rẻ vừa đẹp,1
"Vừa nhận hàng, thấy đai quần bị bung ntn. Đã nhắn với shop nhưng không nhận đc phản hồi. 😢",0
Vừa nhận hàng xong và cảm xúc là: Trời ạ,0
Vừa nhận hàng quần đã bị rách rồi,0
"vừa nhận hàng nên đánh giá luôn. Quần đẹp chất dày dặn, đường may cẩn thận với mình quần như này là rẻ rồi. Mặc mát nhé. ảnh ở ngoài đẹp hơn mình chụp khs nó tối",1
"Vừa nhận đã bị gãy rui, shop nên kiểm tra sp kỹ rồi mới gửi cho khách hàng nhé",0
"Vừa nhận áo đã đứt cúc rồi, chỉ thừa nhiều",0
"Vừa người
Mình 1m67 52kg mặc size M vừa hơi chật ôm người
Bạn nào thích mặc rộng có thể lấy size L nhen
Chất bông mịn sờ dễ chịu ấm trong điều hoà trời lạnh
Ra ngoài trời SG nắng thì sẽ nóng hơn mấy kiểu áo khác",1
Vừa mua về gắn nút vào tháo ra cái bung lun chán thật sự :),0
"Vừa mỏng vừa thô ráp, mặc thử rất dặm, ko biết giặt đi có đỡ ko",0
"Vừa mới thử đã long khuy áo :(( nma có thể khắc phục được. Áo đẹp , phối đồ đẹp",1
Vừa mới mua về bị đứt khoá quần,0
Vừa mới giặt máy 1 lần đã giãn,0
Vừa mở ra đã vậy rồi,0
"Vừa mở ra đã thủng 1 lỗ nhỏ, chỉ nhiều cắt mệt",0
Vừa mở nắp đã bật kem nền ra ngoài bố thí cho bạn 270k mà làm ăn có tâm tí 🙂,0
Vừa mặc thì chợt thấy túi lủng,0
Vừa mặc đc 1 2 tiếng đã bị xù lông,0
Vừa măc đã bị xù lông,0
Vừa mặc áo vào đóng cúc áo xong cởi áo ra bung luôn cúc,1
"Vừa in luôn ạ . Size chuẩn , shop giao hàng nhanh 
Vải đẹp lắm lun ấy , dày dặn co giãn nhẹ . Đáng để mua . Sẽ ủngg hộ shop thêm",1
"Vừa giặt xong, vải bị nhăn hết lại",0
"Vừa gì đâu, thấy áo đẹp nên mới mua, lừa tình quá đi",0
Vừa dùng lần đầu mà đã banh chành như gì,0
Vừa đẹp vừa rẻ nhất shopee 😘😘😘 Ưng Ưng,1
Vừa chửi nhau với ny nên thoi cho 3 sao ⭐️ chứ chất đẹp,0
"Vừa bóc ra đã thấy chỉ thừa nhiều, còn có lỗi. Chưa mặc nên không biết chất lượng ntn",0
Vs hộp giày bị bẹp,0
"Vs giá như này thì quá tuyệt. Mình m52 44kg mang vừa qa mông, mn nên mua XL mang cho đẹp nha",1
Vs giá này là ok,0
Voucher the khac gi an binh thuong dau,0
Voucher mua 95k dc 1 pizza size M ma an xong thanh toan them 89k,0
Vote 5 sao,1
Vote 10*,1
Vòng siêu siêu xinh luôn a~ Rất đáng tiền,1
"Vòng có mùi gỗ thơm nhẹ rất dễ chịu, đeo tay vừa vặn, nước gỗ bóng đẹp",1
"với tầm giá thì vải rất ok:
nhưng tui nhiên áo lại rất rộng và có mùi rất khó ngửi
mình cao m57 mặc vừa nhưng rất rộng
khuyến khích cho shop 4 ⭐️",1
"Với tầm giá này thì có nhiều sản phẩm khác tốt hơn hẳn🙂 Hai bên túi siêu nông, đc nửa bàn tay, trông hàng cúc co rúm chán dã man. Đầu tiên cho 3⭐, sau khi giặt 1 lần phải vào rate lại Vì phần in bị bay màu gần hết, vải xù lông. Phí tiền Các bạn cho 5⭐ chắc toàn học sinh k biết nhìn chất lượng áo 🙂",0
Với những sản phẩm basic như này rất khó tìm chất vải với giá tiền như thế này,1
Với lại những áo nào hết shop ko nên để lên đó lúc mua đặt hàng được nhưng shop lại thiếu hàng,0
Với giá tiền thì kg mỏng như mình nghĩ,0
"Với giá tiền này thì quần cũng ok phết, vải hơi thô nhưng chấp nhận dc. Quá là nhiều chỉ thừa, nhiều k tưởng🙂",0
"Với giá tiền này thì k đòi hỏi j nhiều, nói chung hàng ổn, thấy áo có vẻ hơi nhỏ, nhìn hình thì cứ nghĩ mẫu áo rộng xíu",1
"với giá tiền này mua được chiếc quần khá ổn, chất vải thích, mỗi tội mặc vào eo hơi chật một xíu🥹",1
Với giá tiền đó thì ok lắm rồi.L,1
Với giá tiền cả hai áo em thấy đắt,0
Với giá thì ok,0
"Với giá thành như vại là quá hời nha mọi người , giao hàng siêu nhanh, chủ shop dễ thương, tư vấn nhiệt tình, ủng hộ shop dài dài nha, còn đắn do chi nữa , nên mua và nên mua nữa",1
Với giá rẻ nữa nên hoàn toàn xứng đáng 5*,1
"Với giá này và chất lượng sp thì mình ko rcm cho mn lắm…đáy quần và thun quần ko ăn khớp cứ bị lệch, đường may khá ẩu
Size đen XL và size xám L bằng nhau …",1
Với giá này thì rất không đáng tiền,0
"Với giá này thì quá là hời luôn ạ, em rất hài lòng về sp, đường may đẹp, vải k dày cũng k mỏng , tuyệt vời ạ 💗",1
"Với giá này thì không đòi hỏi gì, chất lượng tuyệt vời. Áo form rộng nên mn đừng đặt nâng lên 1 size. Mấy áo khác mình mặc size L nên lần này cũng đặt size L, nhưng nó hơi rộng so với mấy áo khác mà mình mặc",1
với giá này thì hàng cũng khá chất lượng ok với giá tiền hàng vải ok gói hàng chu đáo,1
Với giá này thì chất vải chưa ưng lắm đặt size s rồi mà vẫn khá rộng,1
"Với giá này thì chất lượng này ok, còn shop lên đơn thì không chú ý đơn hàng, mình đặt 3 cái áo có ghi luy ý là lấy mỗi cái một màu mà shop giao cho 3 cái màu đen, làm giờ mặc kiểu gì. 1 sao cho dịch vụ bán hàng để shop rút kinh nghiệm lần sau chú ý hơn.",0
Với giá này mua đc áo dày hơn:)( áo khác hình,0
"Với giá này mà đồ may ẩu, quá nhiều chỉ thừa, mối may đè lên nhau, ngồi cắt chỉ 1 cái quần mà phải 15 phút",0
"với giá này mà chất vải thì như mấy cái áo vài chục ngàn giá này cũng chỉ mắc hơn những áo vài chục ngàn 1 chút thoi mà nhìu khi còn thua from bé lắm nha mọi người, thoi thì treo tủ đồ cho đẹp cũng được:)",0
Với giá này là mắc và gà làm mặn quá( có thể do khẩu vị mỗi người)!,0
"Với giá mua 140k thì k đòi hỏi nhiều. 
Kiểu dáng đẹp, đường may k chỉ thừa, 
chất liệu cảm giác k mát .",1
"Với giá mà shop để thì k nên mua áo đâu ạ
Áo giặt đc 1 lần(lúc nhận hàng về) mặc đc 2 hôm áo xù lông hết lê ,trông mất hết thẩm mỹ",0
Với giá hạt dẻ như thế này là ok rồi. Áo rất đẹp. Giao hàng cũng nhanh nữa.,1
Với giá 9k thì quá oce nhưng với giá 89k thì không hề xứng đáng vải mỏng nhưng from đỉnh á,1
Với giá 55k thì hợp lí,1
Với giá 27k cả ship là đúng với chất lượng nhé,1
"với giá 199 thì mình k thấy hài lòng lắm vì áo k dày như mình mong đợi, vải khá nóng giặt ra rất nhiều lông nha và phai màu dính hết vào phần màu be, mng cân nhắc trc khi mua nha, với giá này mng có thể kham khảo các brand khác với chất vải xịn hơn nè 😭",0
Với chất vải nóng như vậy mình thấy ko xứng đáng với giá tiền bỏ ra,0
Với chất liệu vải như này thì không hợp với giá tiênc vải mỏng hình in dễ bong tróc,1
"Với cái giá vậy thì vải vậy chịu thoai :)))
Vải mặc nóng nha, chắc sẽ sớm xù lông",0
"Với cái giá này thì chất vải quá xấu mỏng tèo,mn nên xem kĩ rồi hãy mua",0
Với áo hơi rộng,0
Với 99k thì là một sản phẩm vừa giá vừa dùng nhưng với 200k thì chất lượng có lễ không tốt rồi,0
Với 1 đôi bị chút bẩn,0
Voan có vẻ hợp vì lụa mịn đây chất cứ nhám nhám kiểu gì ấy Đóng gói sản phẩm kém,0
Vo vẩn,0
Vò vài cái là xù lông rồi,0
vô trong chat riêng nt thì ko tl,0
Vỏ trầy xước hơi cũ,0
"Vô trách nhiệm, rất vô trách nhiệm",0
Vỏ to nhưng kẹo ít .-,0
Vỏ hộp thì sước hết,0
"Vỏ hộp hơi cũ, rách. túi bên trong cũng cũ",0
"VinaPhone kính tặng QK 5 mã dự thưởng để tham gia CTKM ""Kết lộc vàng-Vui rộn ràng"". Mời QK TỰ QUAY THƯỞNG trong vòng 24h trên App My VNPTtại https://my.vnpt.com.vn/app để có cơ hội trúng 60 giải VÀNG SJC 9999 trị giá 68.000.000đ/giải, 126 giải Nhất trị giá 8.888.000đ/giải cùng hàng ngàn giải thưởng",1
Viết rất mờ,0
"Viền quần bị may đè lệch, sản phẩm không được kiểm tra giao hàng lỗi cho khách",0
"viền mền may xấu. chất bên trong gối là dạng giấy, dễ rách hoặc mủn ra khi ngâm nước",0
Viền cổ và bo tay đều không có..,0
viền cổ áo hơi mỏng,0
"Viêm da là tình trạng phổ biến về da gây kích ứng và phát ban trên da do di truyền, hệ thống miễn dịch hoạt động quá mức, da bị nhiễm trùng hoặc dị ứng với các chất gây kích ứng. Viêm da không gây nguy hiểm cho cơ thể nhưng tạo cảm giác ngứa ngáy, khó chịu. Do đó, việc điều trị viêm da sớm là cần thiết giúp người bị viêm da thoát khỏi được tình trạng trên.",1
"Video và hình ảnh chỉ mang tính chất nhận xu.
 Shop nhiệt tình và vải áo mang  mát chỉ có điều mình đặt 2XL tay lỡ nhưng áo về lại là tay ngắn.",1
"Video và hình ảnh chỉ mang tính chất nhận xu. Áo chất mát, mềm lên phom đẹp, shop đóng gói trong hộp cẩn thận, phía trong có giấy thơm, điểm trừ duy nhất là lúc giặt bị rơi sợi vải rất dơ, nếu kh hết mặc vào người sẽ bị dính bẩn lắm. Nhiêu thui nhưng chất vải rất đáng tiền nhé",1
Video và ảnh k liên quan nhưng mà áo đẹp lắm nhé kaki ngoài đường may k có chỉ thừa giá vậy oke. Tuy nhiên có rách 1 vài chỗ và sau 1 vài lần giặt thì mk thấy áo bị xù lên trông rất xấu h k dám mặc luôn,0
"Video klq. Quần shop tư vấn chuẩn size tuy nhiên chất vải không được đẹp lắm, hơi thô, k co dãn và nhìn bị sổ lông một chút.",1
Video không liên quan nhưng áo tạm được vải khá mỏng mn nên mua,1
"Video chỉ mang tính nhận xu , quần áo trẻ trung năng động nhưng mặc nóng , có vài chỗ chỉ thừa và dễ rách . Ncl ổn trong tầm giá",0
"Video ảnh k liên quan vì mk mua hộ, nhưng bạn bảo mà màu áo k giống lắm , nhưng với giá vậy là ổn hạt rẻ hơn shop khác",1
Vicjgcjjcmfkg,0
vìa i và quân sự và chia sẽ cho anh yêu yyyyyy với nha thầy ơi con có xe,1
Ví xấu hàng đểu.ko bao giờ mua hàng của shop nữa.cạch đến già,0
"Vì tin tưởng là shopee mall nên đã thanh toán trước bằng thẻ, khi nhận hàng ngay cũng đã xác nhận ngay, đến khi khui hàng sau đó thì thất vọng quá về shop ạ",0
Vì sp này bằng nhựa Chất lượng sản phẩm tốt,1
Vì sợ bị kiện cáo shop đã gọi trực tiếp gọi điện trao dồi và cách xử lý đổi hàng,0
Vì sai sót của shop,0
Vì rộng va hok nhân biên,0
"Vì mua 2 đơn nhưng ko liền nên mik chụp 1 bộ thôi ai, xhaats vải hơi cứng nhưng chắc giặt sẽ mềm ra ạ, hoạ tiết bắt mặt phù hợp vs gới trẻ, nch chấm áo 9/10 ạ",1
Ví mỏng hơn mình nghĩ và phía bên trong có vẻ cũ,0
Vì mấy đánh giá 5* mà mình tin tưởng lầm,0
Vì lông ngắn củn ko thấm,0
"Vị lạ, bùi bùi, mặn mặn ngọt ngọt ăn khá nghiền",1
"Vì là vải kaki nên mặc có hơi thô nóng,chỉ thừa hơi nhiều,mặc thì cx ok thoải mái",1
Vì là flash sale nên mua thử. Nhưng nhận hàng chất lượng cũng bt,0
Vì k giao đúng sz cho khách,0
Vì k có khóa kéo chỉ có dây thắt nút thôi(cái này túi đựng trong hình khách nhau) Túi đựng nhỏ khi bỏ thảm vào toàn bị dít vào nhau,0
Vì giao thiếu,0
"Vì do k ở nơi để sản phẩm nên mình úp đại cái ảnh , mình có góp ý xíu là shop tư vấn size hơi sai nhé , có rất nhiều chỉ thừa lại , chất liệu thì cứ cho là oke đi .. góp ý shop chỉnh sửa cho những đơn tiếp theo nhé !!",0
Vì dép bé,0
Vì chật,0
Vì áo 1 cô hết nên lấy sang 2 cô,1
Vg,0
Very Good. 👍,1
"Very good, sẽ ủng hộ shop dài dài",1
Very good !!!,1
Very good,1
Verry good,1
Verry buồn khi fai danh giá 1 sao,0
Về phần vải thì OK nhưng hoạ tiết kém còn quần thì mình đặt màu ghi nhạt về ghi đhaam,0
Về mới giặc lần thứ 2 màu xanh pha màu hồng,0
Về mặc hơi rộng,0
Về giặt túi là vứt luôn ..,0
"Về chất lượng, áo khoác hai lớp thui nhưng mùa đông khoác ra ngoài cùng một chiếc hoodie trơn màu là siêu xinh nka các pác. Áo lên form đẹp, màu chữ thêu cũng lên đều, ống tay và cổ áo đều co dãn vừa phải, đặc biệt là ⭐khum có chỉ thừa⭐, đỡ phãi ngồi cắt các thứ các pác ạk. Ncl, ổn áp nka các bác❤",1
VB tet nay đã trở thành một món quà nhỏ được không ạ với dây kéo ấm chất xấu nhìn phèn,0
Váy xinh mình rất thích 👍👍,1
Vay thi OK con ao thi bi Rách buon ghe noi shop thi tra loi qua loa,0
Váy sz S mà quá rộng. 47kg mặc vào nhìn như nấm,0
"Váy shop bán siêu đẹp, vải tốt, rất đáng tiền luôn😍😍❤️❤️",1
Váy rất xinh. ^^,1
"váy rất xinh, chất vải mịn mát,đặc biệt là may không bị ngắn so với chân mình, mặc đi chơi luôn mà ai cũng khen cả nhưng mình không thích chụp ảnh nên không feedback được cho shop",1
"Váy rất xinh, chất vải đẹp, rất đáng tiền, chủ shop nhiệt tình và reply tin nhắn rất nhanh ^^",1
Váy rất xinh dày dặn chắc chắn,1
"Váy rất ưng, vải hơi mỏng nhưng from đc - k có thắt lưng shop vẫn trả tiền lại đánh giá cao điều này",1
Váy rất ngắn,0
"Váy rất đẹp, chất voan mịn, cô chủ tư cấn nhiệt tình",1
Váy rất đẹp quá ứng với giá tiền đó,1
Váy quá rộng so với mình,0
Váy quá ngắn,0
Váy quá mỏng ko ưng ý,0
"Váy quá đẹp,mặc lên rất tôn da",1
Váy ok đẹp nhưng bị phai màu,0
vậy ngay từ đầu đừng nói là mua lại. làm ăn kiểu vậy ai dám mua nữa,0
Váy ngắn wa ah,0
"Váy mỏng, mặc lộ",0
Váy mỏng thôi,0
Váy mỏng quá,0
"Váy mỏng mát, ôm dễ chịu",1
Váy mềm mượt và lên dáng rất đẹp,1
Váy màu ghi nhỏ hơn màu đen 1 chút nên hơi chật với mình :(,0
Váy mặc siêu xinh,1
Váy mặc ôm người thoải mái . ok,1
Vậy mà khi mở ra lại là màu đen,0
Vậy mà k mặc dc luôn,0
Vậy mà giờ m xem thông tin vận chuyển lại báo m delay đến 2 lần,0
Vậy mà giao cho quần size L đc,0
"váy lên form rất là đẹp, thướt tha lắm",1
Vậy là oke so với giá tiền rồi,1
Vay ko giong hinh giay keo bi dung kho keo ban lung ko om lung Chất lượng sản phẩm kém,0
"Váy không đẹp như trong hình , sản phẩm không giống hình",0
Váy k giống hình,0
Váy k giao nhưng cx k được báo trước,0
"Váy k giản,ng mình bé vậy mà vai k vừa,chật k thở đc,khó khăn lắm mới kéo váy xuống đc.chắc người nào 40kg mới vừa.k hiểu sao mọi người mua rồi khen ghê vậy",0
Váy k đc nhue mong muốn,0
Váy hơi rộng xíu nhưng cũng được,0
"Váy hơi rộng quá, ko thich lắm",0
Váy gì mà chỗ mông lòi ra r gập lại,0
"Váy đẹp, y hình",1
"Váy đẹp, chất đẹp , shop uy tín",1
Váy đẹp nha,1
"Váy đẹp lắm ạ, đợt này có hơi lâu nhưng em thấy đáng ấyyy <333 chị chủ cute lắm luônnn",1
"Vay đẹp kỹ,tu van nhiet tinh",1
Váy đẹp cả chất và lượng,1
Vãy dây nối???,0
Vảy dày đẹp rất đáng tiền,1
Váy đặt size L giao size S,0
Váy cũng được nhưng thấy màu đậm quá mặc sẽ rất chóe,0
Váy còn đẹp và chuẩn hơn trong hình nữa,1
"Váy chất và màu đều rất đẹp, giao hàng nhanh, đóng gói cẩn thận",1
"váy chất mát, mặc thích lắm ạ",1
Váy caro rất đẹp,1
Váy bị rách,0
"Váy bị ngắn, chỉ dài đến ngang gối, lớp lót ngắn chỉ qua mông",0
Váy bị lỗi hở đường mai,0
Váy bầu hơi mỏng,0
Vất đi luôn 10c,0
"Vạt áo rất ngắn, k thể mặc được như mẫu dù là mặc với quần cạp cao",0
Vạt Áo ko bằng nhau,0
"Vảo oke, nhưng phần xẻ ngực k thích hợp với những người gầy",0
Vào mở thì có bịch như bị chuột mâm ý,0
"Vảo hơi thô, k mềm mại",0
"Vảo áo ngoài cứng, giặt rồi vẫn cứng, rất cứng, áo trong thun mỏng, rất mỏng. Ncl tiền nào của nấy ạ, dù sao cũng cảm oen shop, giao nhanh.",1
"Vâng ạ ! Bạn quan tâm công việc bên mình bạn kết bạn Zalo bên mình gửi chi tiết công việc cho bạn tham khảo hợp thì làm nha . Khi bạn kết bạn Zalo bạn nhớ nói xin chào nha bạn
 
Áo tẹeeeee",0
Vẫn tặng shop 5*,1
Vẫn tặng bạn 5* vì nhiệt tình,1
Vẫn rất hài lòng về sp của shop ❤️,1
Vẫn nay chưa giới thiệu cho mấy đứa bạn mua. Chứ k là ăn chửi sml. Đồ xấu k có chỗ nào để chê.,0
Vẫn còn chỉ thừa ở mép túi nhưng với giá như vậy thì vẫn quá ok :D,1
"Vận chuyển và giao hàng nhanh, đầy đủ nhãn mác. Chất lượng cũng khá ổn. Cỡ lớn nhất nhưng vẫn hơi nhỏ.",1
Vận chuyển siêu nhanh,1
Vận chuyển quá kém,0
"vận chuyển ok, nhưng chất lượng thì chán , giặt nhuộm quá nhiều, các bác có mua mặc thì trc hết phải giặt thật kỹ, ngâm luôn cả ngày k biết có hết thuốc nhuộm k , giá tạm đc nên đồ chán lắm ! trót mua đành chịu, sẽ k có lần sau nữa !",0
