content,ground
Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém,0
Chat luong rat tot,1
"Chất lượng sản phẩm tạm được, giặt xù lông ra rất nhiều :(( Lại phải giặt riêng một chậu, ko biết lần giặt sau có đỡ ko nưa",0
Quần mặc êm,1
Đẹp lắm 💛,1
Giá quá rẻ cho 1 bộ ngủ 👍👍,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền,1
Váy dày dáng đẹp tuy nhiên hơi ôm Đóng gói sản phẩm rất đẹp và chắc chắn,1
Có hơi mỏng so vs ảnh nhưng đẹp,1
shop có ns là rất bận nhưng phục vụ rất tốt. chất lượng sản phẩm rất ok. ko chê vào đâu dc,1
Áo form nhỏ shop tư vấn k đúng may mà bán lại được mong shop lần sau tư vấn kĩ hơn,0
Mua hàng nhiều trên shopee mà chưa từng thấy shop nào gói hàng lại cẩn thận tới mức toát mồ hôi để gỡ được món hàng ra,0
Hơn cả mong đợi,1
"Sp rất Ok chất dầy , hiện tại có 4 màu này rồi đặt thêm 4 cái nữa shop giao màu khác dùm nhé",1
Chất lượng sản phẩm tuyệt vời,1
Giao hàng nhanh,1
Hàng bao đẹp,1
"tuyệt vời ạ, nhưng chỉ có điều là em đặt nhầm sz nên bị rộng :(((",1
Giày nhìn chuẩn đẹp,1
Hàng đẹp chất lượng,1
Chất lượng sản phẩm tuyệt vời,1
"Quần đẹp, giống hình 😁 chất vải cũng khá đẹp lại còn giao hàng nhanh 😂 gửi shop 5 sao luôn",1
"Giao nhầm size và size 2 đôi nhận đc cũng ko chuẩn, cùng 36 nhưng có đôi kích đôi vừa",0
Áo đẹp,1
Nt không nhắn lại,0
"Chất lượng sản phẩm tuyệt vời,nhung size s em 48kg mac bi rong bụng, bóp bụng mặc ok",1
Giá rẻ mà chất lượng ổn quá,1
Hàng về rất nhanh và đẹp ạ ❤❤ shop nói chuyện rất dễ thương và nhiệt tình ❤❤❤,1
Shop phục vụ rất kém,0
Giao hàng nhanh,1
Giống với hình,1
Giao hàng hơi lâu,1
Nhug bộ lụa vải dày;nóng k jog lụa ma tien kha cao,0
Sẽ ủng hộ shop thêm nữa,1
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Shop phục vụ tốt,1
"Chất lượng sản phẩm tuyệt vời, hàng rất đẹp, y như hình, yên tâm khi mua",1
Màu son lên rất đẹp,1
Vãi mõng mà rộng như cái mùng vậy,0
"Đồ xinh, giá rẻ, shop nhiệt tình 😋😋😋",1
Chất lượng sản phẩm tuyệt vời,1
Cùng lấy 1 size nhưng cái đen nhỏ hơn cái trắng đến 2 cỡ mất í,0
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Mới uống đc gần 2 ngày mà đã giảm được 2kg rồi,1
Siêu xinh,1
Mọi người nên mua,1
Shop giao hàng cực nhanh lun nha 💋,1
chủ shop nhiệt tình :v,1
Rất xấu!,0
Giao hàng nhanh,1
Chất lượng sản phẩm tuyệt vời vải dày dặn hình in chắc chắn,1
Thời gian giao hàng hơi lâu,0
Là người đi giao hàng lại bắt khách đi để nhận hàng,0
Sản phẩm vừa với giá tiền,1
Shop phục vụ không tốt,0
Shop phục vụ rất tốt,1
"áo dày, đẹp, ấm, đẹp nên mua",1
Đẹp lắm hơn cả mong đợi,1
Mình thich áo này,1
Shop giao hàng bao nhanh,1
Tiền nào của đó Shop phục vụ khá tốt,1
Đẹp lắm mà v3 93 nên ko vừa hic,1
Chỉ k bằng lòng hàng bị rách thôi,1
":'( hơi thất vọng cái váy hồng ko có cúc khóa như 2 cái kia và quần trong mỏng dính hơn 2 cái váy đen và xám , và váy xám size to hơn 2 cái kia 1 chút và đóng gói sản phẩm hơi khó bóc ạ , nhưng nói chung váy cũng rất xinh",1
Mình béo nên mặc váy hơi bị xòe nên xấu quá,0
Vải tốt nhưng màu k giống hình,1
Phải nói là rất chu đáo ạ :)))) Rất đáng tiền,1
Sản phẩm tốt,1
Khá là ok .. ổn thanks you ah.,1
"giao hàng rất nhanh, rất ưng ý với quần có túi, from đẹp, mh 56kg cao 165 mặc quần topshop size l thì hơi rộng xíu, chắc để lần sau mua hàng giảm size lại. nếu có size 27, 28, 29, 30 như vậy thì dễ hơn",1
Áo khá đẹp,1
Vẫn se tiep tuc ung ho shop Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiề,1
Hàng chính hãng giống như mô tả,1
Chất lượng sản phẩm tuyệt vời nhưng box nát quá huhh,1
"Có đường may rất lộ, gửi hoàn hàng thì mấy ngày mới thấy rep",0
"Đóng gói sảm phẩm đẹp,chất lượng tốt luôn. lại còn được tặng kèm quà của shop nữa.hihi😊",1
"Hàng giống hình, chất lượng phù hợp giá tiền, shop giao hàng nhanh",1
Chất lượng quá ổn so vs giá tiền,1
"Chất đẹp, bà chủ nhiệt tình dễ thương",1
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh,1
Hàng quá đẹp mặc rất ok,1
"Vải xấu, mỏng, nóng",0
"Giá hạt rẻ, shop cứ bán hàng chất lượng nhé",1
"Giầy đẹp, như hình",1
"Quần khác với trong ảnh, size bé như size 27-28, muốn trả hàng hoàn tiền, mặc ko vừa mong shop Thoòng cảm cho khách hàng",0
"Áo bình thường, kg hút mô hôi, mặc nực muốn chết",0
Đóng gói cẩn thận chắc chắn tỉ mỉ,1
"mọi thứ đều ổn , hàng khá đẹp . chủ shop nói chuyện hài hòa . giải quyết vấn đề khá nhanh trong vòng 1 nốt nhạc",1
Cho 4.5 sao,1
Mới mua của shop hôm vừa rồi,1
Chất lượng sản phẩm tuyệt vời. đẹp mềm. sờ chất rất là thích. tặng shopp 10 sao luôn 😊,1
Tốt nhất là ko nên mua,0
"Vải đẹp, mát",1
Đóng gói sản phẩm chắc chắn,1
Vớ rộng wa cũng được nhưng phải nhỏ lại,0
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời,1
Rất không đáng tiền Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền,1
Vải dày dặn,1
"Gói hàng cẩn thận, mèo nhà mình mới đổi sang loại này rất thích",1
"Quần đẹp ,y hình ,",1
"Chất lượng sản phẩm tuyệt vời, giao nhanh",1
Áo sz M mà bé tí trẻ con mặc vừa😂đổi sz thì shop bảo giao hàng r trong khi đó thông báo của shoppe là vẫn đang chuẩn bị hàng,0
Chất lượng sản phẩm tuyệt vời Áo đẹp,1
Tks shop nhé,1
"Hạt còn nguyên vỏ nên bóc ra ăn rất ngon, chỉ hơi cực tí, đặc biệt với những hạt nhỏ",1
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh !!,1
"Áo rất đẹp , tuyệt vời 😘",1
Mong là shop bán nhiều đồ đẹp hơn để em ủng hộ 😍 Có fb shop thì càng tốt ạ,1
"Sp tốt , sẽ ủng hộ shop dài",1
Hơi rộng để tới bầu lớn mặc vẫn ok,1
Tư vấn nhiệt tình,1
Mình chưa dùng nhưng nhìn hộp bé tẹo à,1
HiHi áo mình mặc vừa nhưng rộng thêm xíu nữa là Hoàn hảo 😅 Nhưng mình vẫn cho shop 5* vì bản thân mình béo nên đâu trách cái áo size to nhất đc 😎 Sẽ ủng hộ shop tiếp !!,1
"Mình thấy rất đẹp nên mua về con trai mang, rất tiện lợi, con trai mình thích ghê lắm lúc nào cx đeo như vật bất li thân <3",1
Mọi người cứ việc mua đừng ngần ngại về chất lượng nha,1
K nên mua lớn hơn 1 size,1
Chất lượng được,1
Màu đẹp,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.hang i hjh,1
Nhận hàng xong chán luôn,0
Nói chung mang tiếng mua hàng chính hãng còn thua cả hàng xách tay,0
Sách đẹp Đóng gói sản phẩm rất đẹp và chắc chắn,1
Mua cho cô e cô rất thíc,1
Thời gian giao hàng rất nhanh Rất đáng tiền,1
sản phẩm chất lượng kém,0
"Bánh ngon, nhân nhiều",1
"Đáng 100k,chất oke có dây đai điều chỉnh",1
"Shop trả lời nhiệt tình, tư vấn nhanh chóng, dễ thương",1
Chất lượng sản phẩm tuyệt vời,1
Gói hàng cẩn thận,1
Thời gian giao hàng nhanh Thời gian giao hàng nhanh Đáng đồng tiền,1
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Chất lượng sản phẩm tuyệt vời...mặc rất dừa&đẹp...sẽ ủng hộ shop dài dài Thời gian giao hàng rất nhanh,1
Áo mạc form đẹp,1
Anyway em rất hài lòng về sản phẩm,1
Tuyệt vời lắm,1
"Keo viền da không chắc chắn, cạo là tróc ra",0
Áo đẹp,1
"Chất lượng sản phẩm tuyệt vời, quần rất đẹp ạ",1
Hai long,1
I am very pleased wi 4th this product,1
Chất lượng sản phẩm kém,0
"Chất lượng sp tốt, giá cả hợp lí",1
"Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, sản phẩm nhận được đầy đủ",1
Hàng đẹp hơn hình,1
"Chất lượng sản phẩm tuyệt vời, vải mịn và mát Đóng gói sản phẩm rất đẹp và chắc chắn",1
yêuuu,1
"Áo đep, như hình",1
dùng rất thích mà giá lại rẻ nữ,1
Sẽ ủng hộ shop lâu dài,1
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền👍🏻👍🏻,1
Chất oke,1
Chất lượng tốt,1
chủ shop dễ thương Chất lượng sản phẩm tuyệt vời,1
Giao hàng rất nhanh,1
áo đẹp,1
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền,1
"Shop rất tử tế, phục vụ rất tốt, thời gian giao hàng rất nhanh, luôn ủng hộ shop",1
Vải hơi mỏng so với màu cam,1
Nói chung vừa í,1
Áo đẹp lắm ạ ❤️,1
Giày của mình bị ố vàng nên hơi buồn shop ạ,0
"Sản phẩm nhìn rất đẹp,nhưng khi text thì nút âm lượng (-)(+) không điều chỉnh được,ngại đi bảo hành nên cứ coi như tuỳ duyên",1
Rất đáng tiền,1
"Ao dep , co gian tot, Rất đáng tiền Thời gian giao hàng rất nhanh, se ung ho shop nhiu nhiu",1
Voucher the khac gi an binh thuong dau,0
Đóng gói sản phẩm cũng ko Ok,0
Mình cx ko bt là hàng cũ hay ms nữa,0
Đồ rách vá 1 chùm như này mà cũng đem giao,0
Chất lượng tốt,1
Chất lượng sản phẩm tuyệt vời lắm ạ,1
Áo vừa đẹp lắm,1
Đúng là sai sự thật,0
Chất lượng sản phẩm tuyệt vời,1
Với giá tiền này thì quá tốt .Đóng gói sản phẩm rất đẹp và chắc chắn,1
Sẽ ủng hộ shop tiếp,1
Shop bán hàng đúng chất lượng giá lại siêu rẻ se ủng hộ shop dài dài,1
Cảm thấy thất vọng,0
Sau này sẽ ủng hộ shop dài dài 🤗,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,1
"Dáng áo xinh, chất len hơi mỏng và có khả bai dão, khi giăt nên cho vào túi giặt",1
Excellent packaging...a little bit overkill but very well packed,1
V1 mình 85 mặc vào chỉ cần chỉnh dây lại là vừa khít nhưng vẫn còn hơi rộng,1
"Mình đặt 3 ví shop đều giao đúng mẫu, da ví dày và hầu như không có hư hại gì",1
Chất lượng ko đẹp,0
Nhắn tin ko rep mất mệ cái áo 80k làm ăn như thế hả gói hàng như cúng cô hồn,0
"Mua do toi gio ma k thay gui gi het , mua lau roi",0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.Giao hàng nhanh,1
Kute,1
"Chất lượng sản phẩm tuyệt vời, bỉm nhập khẩu chính hãng",1
Nửa tháng có hàng,0
Đóng gói sản phẩm chắc chắn,1
Sản phẩm tốt còn được tặng quà nữa,1
Shop phục vụ rất tốt!,1
Chất lượng sản phẩm tuyệt vời Áo đẹp lắm,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,1
Chất lượng sản phẩm tốt,1
Áo đẹp thời gian giao hàng nhanh 😍,1
"Lúc đầu đặt cứ tưởng mày xanh rêu, ai ngờ là màu đen sọc đỏ",1
"Lần thứ 2 mua giày ở shop, lần nào cũng rất rất hài lòng",1
quá đẹp 👍,1
Quần đẹp,1
"Áo xinh, vải mát, form rất đẹp",1
Váy còn đẹp và chuẩn hơn trong hình nữa,1
Giao thiếu nhiều hàng,0
Tai nghe bluetooth không sài được,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền💖💖💖,1
shop ban hang cu. ban hang da sai roi,0
Bao đựng áo xinh :)),1
Chất ok Đóng gói sản phẩm rất đẹp và chắc chắn,1
Mk đặt 30 cái mà không mẫu nào giống nhau 😍😍,1
Chất đẹp,1
"Chất liệu da tốt vs đường may chắc chắn, k vì rẻ hơn các shop khác mà làm điêu, rối",1
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh 😘😘,1
"Sản phẩm ok, vừa ý mình",1
Áo rất đẹp,1
Ủng hộ,1
"Quần dày dặn, đường may đẹp, dáng quần đẹp, màu sắc mượt mà",1
Mùi hơi thơm quá,0
Quần mặv rất mát,1
Quá tệ,0
Áo không hề giống hình,0
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong,0
"Hàng siêu đẹp ạ 😋 cảm ơn shop nhiều, lần sau sẽ tiếp tục ủng hộ shop",1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền đẹp,1
Mk nhận đk hàng rồi đẹp lắm cảm ơn shop nhé 😊,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền,1
Tks shop,1
Chất lượng sản phẩm tuyệt vời.như hình,1
Good👍❣️❣️❣️,1
"Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh, sản phẩm đẹp, chất đẹp",1
"Cám ơn shop nhìu ạ vải đẹp mà form cũng đẹp, giá cả hợp túi tiền, nhất định sẽ ủng hộ nữa 👍👍👍",1
"Đóng gói rất đẹp, hang y hình, rất hài lòng👍🏻👍🏻👍🏻",1
Shop làm ăn rất uy tín,1
áo len mềm mịn đẹp lắm mn ạ. biết thế mình mua 2 cái bõ tiền ship,1
"Màu son đậm hơn mình nghĩ, chất son bám tốt",1
"Chất lượng sản phẩm tuyệt vời, cực yêu shop luôn",0
Giao hơi chậm nhưng mà sản phẩm cực kì chất lượng,1
Show có tâm,1
Chị chủ nhiệt tình tư vấn,1
"Thời gian giao hàng nhanh, đóng gói chắc chắn. 5 sao cho shop Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn",1
Đóng gói cận thận vad giao hg nhanh,1
Hàng mỏng quá..,0
E hỏi nhìu mà shop vẫn nhiệt tình tư vấn 😘 tks shop ạ,1
Rất đẹp nhé,1
Chất lượng quá ok,1
"Mặc dù bình thường đều mang 35, nhưng sp rất xinh 💯",1
Áo đẹp lắm shop ah,1
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1
Đường may ẩu,0
Hàng đẹp,1
Sản phẩm tốt giá hợp lý.cảm ơn shop.hihi,1
Lúc mở hàng nhận đc món quà nhỏ của shop thấy vui vui,1
"Vải k thấm mồ hôi, hơi mỏng",1
Chất lượng sản phẩm tuyệt vời !,1
Áo mặc rất đẹp,1
Khá hài lòng. 😊,1
Áo rất cute chất vải tuyệt vời cám ơn ạ 😍,1
Chất áo rất xấu,0
Thời gian giao hàng nhanh Shop phục vụ khá tốt Đóng gói sản phẩm chắc chắn,1
Shop giao hàng nhanh,1
Co giãn đẹp shop kỹ tư vấn nhiệt tình .. rất ưng ý luôn cảm ơn shop nhiều nhiều 😘😘😘,1
Shop dễ thương lắm,1
Rất đáng tiền,1
"Dep hon tuong tuong , san pham chat luong hon so voi gia tien",1
"Sản phẩm chất liệu đẹp, mặc rất vừa vặn",1
Giao ko đúng màu còn sai kích cỡ.thất vọng ghê,0
"Áo vừa ngắn vừa bó, nghĩ sao áo vầy gọi là áo cánh dơi",0
Giao thiếu hàng kêu trả lại tiền mà không thấy,0
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền,1
Đóng gói sản phẩm rất đẹp và chắc chắn .Shop phục vụ rất tốt,1
Rất ưng ý,1
Thái độ ko chấp nhận đc,0
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền,1
Gửi sai màu,0
"Cứ gần hết kẹo mút ghiền là ghé thăm shop,sẵn ngay ngày 10/10 có được voucher 10% với chơi lắc xu mấy ngày cũng gần 18k,mà mua 3sp kẹo mút được giảm 10% nữa chứ.mà chỉ có bị cái cho nó tự động chọn bên vc,ko để ý tưởng sh 4H ai ngờ lại GHTK...NÊN ko được nhận trong ngày.sp HSD&NSX rất OK.THANKS SHOP",1
Áo này đẹp,1
"Màu son đẹp, ưng ý lắm luôn",1
"Quần túi bóng bình thường, k phải túi zip loại 1, vừa kéo lên đã nghe tiếng nick chỉ Hic",0
Chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn Shop phục vụ rất tốt Rất đáng tiền,1
Hoạ tiết hơi nhoè Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1
"Áo chất đẹp, hàng nhận giống hình, shop nhiệt tình😍 nếu có cơ hội sẽ tiếp tục ủng hộ trong tương lai",1
Hàng như hình,1
Đẹp hơn mình mong đợi,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt,1
Sẽ ủng hộ shop tiếp 😍,1
Hic,0
Mình đặt quần ren mà gửi mình quần gân :(,0
Giá tốt.👍,1
Mọi người hãy tin tưởng Và mua dùng,1
"Tuy nhiên áo may khá sơ sài, phần cuối áo k đc may, đặt sz L giao sz XL, to nên phải mất công đi sửa",0
hơi thất vọng,0
"Vải mịn đẹp, màu xanh nhạt cũng rất đẹp",1
Áo chất hơi dày nhìn chung rất đẹp y hình,1
Đóng gói sp đẹp chắc chắn,1
Mình đặt sai S nhưng lại ship sz M,0
Cute lạc lối 😂😂,1
Chất lượng sản phẩm tuyệt vời,1
"Đẹp lắm,may sao 10 cái 10 màu luôn.Cám ơn Shop",1
"Hàng chán , dịch vụ dở",0
Thời gian giao hàng rất nhanh,1
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Áo dễ thương,1
"Cotton nhẹ, mát",1
giao hàng hơi lâu,0
Áo rất đẹp Chất lượng sản phẩm tuyệt vời Rất đáng tiền,1
Cô chủ dễ tính nói chuyện hòa đồng,1
Vải cứng mặc nóng,0
Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt,1
"Quần mặc siêu đẹp, siêu ưng",1
K y ảnh,0
Treo đầu de bán thịt chó,0
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh giày bị bẩn một chút,1
Thật sự cả 5 sản phẩm mình đặt đều rất ưng ý,1
"giao hàng nhanh,",1
"Hàng đẹp hơn mong đợi, giao hàng nhanh, shop tư vấn nhiệt tình..",1
"Năm ngoái cũng mua 1c quần warm bên shop r,quần chất khác so với năm ngoái cứng hơn shop ạ",0
Vận chuyển siêu nhanh,1
Hàng Okie,1
Đẹp,1
Thanks shop,1
Shop giao đúng size đúng màu,1
Ổn .nhưng có mỗi chữ black thôi ko in ko ra gì,1
sản phẩm rất hài lòng ạ,1
Màu hơi bạc. 1m62. 54kg mà mặc k vừa,0
Cảm thấy ưng cái bụng ghê gớm ý,1
Vải cũng ổn nè,1
"Vải co dãn tốt, chỉ màu trắng k trùng màu áo, k bị rộng cổ",1
Monh shop có thể trả lời phản hồi nhanh hơn là đc,0
Mà cổ áo bản cổ to hơn,0
Vải kug ok mà k thích mặc bó sát,1
"Shop giao hàng nhanh nữa, cảm ơn shop nhiều lắm nhé",1
Hàng khá là ổn,1
"Sản phẩm tốt,giá iu,giao hàng nhanh uy tín ❤️ Chất lượng sản phẩm tuyệt vời",1
"Rất không đáng tiền, Chất lượng sản phẩm rất kém",0
"Đáng tiền, chất đẹp, áo y ảnh <3 gói hàng cẩn thân",1
Hàng đẹp,1
Quần form bé,0
Mút quá mỏng,0
kute dễ thương cực,1
Sản phẩm quá ok so với tầm giá,1
Lần trước có mua rồi và được loại kích thước lớn hơn gấp đôi mà giá rẻ hơn nữa,0
Chủ shop rất ok ☺️ bán hàng uy tín,1
Chất lượng tương ứng với giá tiền,1
Chủ shop dễ thương nhiệt tình,1
Chất lượng sản phẩm tuyệt vời,1
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Rất đáng tiền,1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời áo đẹp,1
Boss thân thiện lắm nè,1
"Đúng là shopee 4H,giao hàng rất nhanh trong ngày,mà còn có 3bịch kẹo thôi mà nhìn cái hộp và keo dán đều của shopee hết mà bên trong lót đều mút bảo vệ nữa chứ.Hôm nay dù KM,mà nhắn shop giao bịch kẹo date mới đúng y chang NSX 08/18 lun.Làm ăn rất có Tâm...gần hết kẹo sẽ gặp shop lần 3.THANKS",1
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,lần sau mình sẽ ủng hộ shop nữa ah",1
Hàng sai mẫu làm ăn bố láo,0
Hàng đẹp gía rẻ sẽ tiếp tục ủng hộ,1
Quần chip xinh,1
Chất lượng sản phẩm tốt,1
Tuy nhiên tủ nhỏ hơn so với ảnh,1
"Giao ko đúng màu Khăn mỏng ko xứng đáng đồng tiền ,khăn bị lem nàu",0
😂😂😂 Hình như hết hạn r vì màu bị đậm lại mùi thì nồng vl,0
"Váy đẹp lắm ạ, đợt này có hơi lâu nhưng em thấy đáng ấyyy <333 chị chủ cute lắm luônnn",1
Áo đẹp như hình,1
Thank shop,1
Song đây cũng là 1 sản phẩm đáng để đầu tư,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng tuy hơi lâu nhưng shop đã rất cố gắng,1
Chất vải rất đẹp,1
Đẹp <3,1
Chất lượng sản phẩm tạm được,1
Áo đẹp... vải mịn... rất tốt nè... sho shop 5* nhé... chỉ có điều shop rep hơi chậm thôi... shop cải thiện thêm nhia...!!,1
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Áo đẹp shop nhiệt tình ạ,1
Shop cực kỳ có tâm nha,1
Có tem của DGW,1
